iter	Passed	Remaining
0	2	231
1	4	199
2	5	188
3	7	174
4	10	207
5	12	202
6	14	195
7	16	189
8	18	185
9	20	180
10	21	174
11	23	171
12	26	176
13	28	174
14	30	170
15	31	166
16	33	161
17	34	157
18	36	154
19	37	150
20	38	144
21	40	145
22	42	141
23	44	139
24	45	136
25	47	134
26	48	131
27	49	127
28	50	124
29	52	122
30	56	124
31	57	121
32	58	118
33	59	116
34	61	114
35	62	111
36	64	109
37	65	107
38	66	104
39	68	102
40	71	102
41	71	99
42	72	96
43	73	94
44	75	92
45	76	89
46	78	88
47	79	85
48	80	83
49	82	82
50	83	80
51	85	79
52	86	77
53	87	74
54	88	72
55	89	70
56	91	68
57	92	66
58	93	65
59	95	63
60	96	61
61	98	60
62	114	67
63	115	64
64	118	63
65	119	61
66	120	59
67	121	57
68	122	55
69	124	53
70	125	51
71	127	49
72	128	47
73	129	45
74	133	44
75	135	42
76	138	41
77	139	39
78	141	37
79	142	35
80	144	33
81	145	31
82	147	30
83	148	28
84	149	26
85	150	24
86	151	22
87	153	20
88	155	19
89	156	17
90	158	15
91	159	13
92	162	12
93	163	10
94	164	8
95	166	6
96	167	5
97	169	3
98	170	1
99	171	0
